voice,Time_s,Intensity_dB
1,207.67324,35.644897
1,207.683906,38.052357
1,207.694573,38.323132
1,207.70524,39.129971
1,207.715906,40.112022
1,207.726573,40.85408
1,207.73724,41.878029
1,207.747906,41.222256
1,207.758573,40.142868
1,207.76924,40.05867
1,207.779906,38.29335
1,207.790573,36.400677
1,207.80124,37.366882
1,207.811906,35.508289
1,207.822573,35.347229
1,207.83324,33.867847
1,207.843906,33.497524
1,207.854573,33.00272
1,207.86524,31.519194
1,207.875906,32.408619
1,207.886573,32.466797
1,207.89724,33.735249
1,207.907906,34.473404
1,207.918573,33.910316
1,207.92924,33.615372
1,207.939906,32.47644
1,207.950573,33.152599
1,207.96124,34.370014
1,207.971906,33.694412
1,207.982573,32.193253
1,207.99324,32.193623
1,208.003906,33.140968
1,208.014573,35.25164
1,208.02524,36.24028
1,208.035906,36.500618
1,208.046573,38.040726
1,208.05724,38.816147
1,208.067906,39.567043
1,208.078573,39.393135
1,208.08924,39.458
1,208.099906,39.717678
1,208.110573,39.25399
1,208.12124,38.576134
1,208.131906,37.040627
1,208.142573,33.391273
1,208.15324,34.289791
1,208.163906,35.526707
1,208.174573,37.995895
1,208.18524,39.002316
1,208.195906,38.639477
1,208.206573,38.165195
1,208.21724,38.925194
1,208.227906,39.748405
1,208.238573,38.37793
1,208.24924,35.751247
1,208.259906,34.350727
1,208.270573,33.948391
1,208.28124,32.642982
1,208.291906,35.26741
1,208.302573,36.46265
1,208.31324,38.423801
1,208.323906,40.041317
1,208.334573,38.778557
1,208.34524,37.02375
1,208.355906,37.088818
1,208.366573,36.123627
1,208.37724,35.803169
1,208.387906,35.17794
1,208.398573,36.43985
1,208.40924,38.567402
1,208.419906,39.775696
1,208.430573,44.802834
1,208.44124,47.120338
1,208.451906,45.378254
1,208.462573,42.224617
1,208.47324,41.136684
1,208.483906,40.669716
1,208.494573,40.885365
1,208.50524,41.282772
1,208.515906,40.842564
1,208.526573,40.395168
1,208.53724,40.450951
1,208.547906,40.054096
1,208.558573,39.149914
1,208.56924,39.052284
1,208.579906,39.692039
1,208.590573,41.197815
1,208.60124,42.686859
1,208.611906,42.896675
1,208.622573,42.927208
1,208.63324,43.513962
1,208.643906,45.366264
1,208.654573,46.31813
1,208.66524,46.359241
1,208.675906,47.055187
1,208.686573,46.95446
1,208.69724,46.055676
1,208.707906,45.708294
1,208.718573,45.479919
1,208.72924,44.810238
1,208.739906,44.362713
1,208.750573,44.007191
1,208.76124,43.406624
1,208.771906,42.868732
1,208.782573,41.966022
1,208.79324,40.910557
1,208.803906,39.854137
1,208.814573,38.431671
1,208.82524,37.256615
1,208.835906,35.774872
1,208.846573,33.578686
1,208.85724,32.03022
1,208.867906,32.189522
1,208.878573,33.680565
1,208.88924,38.838112
1,208.899906,50.138515
1,208.910573,58.944012
1,208.92124,62.449215
1,208.931906,63.733303
1,208.942573,67.448082
1,208.95324,69.963867
1,208.963906,70.818054
1,208.974573,70.305428
1,208.98524,68.004761
1,208.995906,65.178116
1,209.006573,64.273849
1,209.01724,64.384193
1,209.027906,64.575676
