"","numSunkCost","numLessMore","LW_DV","numDisease","numDefault","SunkCondition","LessMoreCondition","numLW_IV","DiseaseCondition","DefaultCondition","numINCOME","numEDU","numPolitical","lgnumHOURS","AGE","CRTScore","BNT","ATTN","numGENDER","SUNK_FAM","LESSMORE_FAM","LW_FAM","DISEASE_FAM","DEFAULT_FAM","BNT_FAM","CRT_FAM","TIME_SUNK_Page.Submit.lg","TIME_LESSMORE_Page.Submit.lg","TIME_LW_DV_Page.Submit.lg","TIME_DISEASE_Page.Submit.lg","TIME_DEFAULT_Page.Submit.lg","TIME_SUNK_Page.Submit","TIME_LESSMORE_Page.Submit","TIME_LW_DV_Page.Submit","TIME_DISEASE_Page.Submit","TIME_DEFAULT_Page.Submit","Panel","dates_api"
"336",1,4,2,0,0,"PAID","SCARF",2.7938383860562,"GAIN","OPTOUT",15,2,4,4.78749174278205,67,0,1,1,0,1,1,1,3,1,1,1,2.7455386455132,2.89392100740731,1.39351820620921,5.22786807785739,2.91262236683098,15.573,18.064,4.029,186.395,18.405,"Blended","2022-03-28"
"337",8,7,3,0,0,"PAID","SCARF",2.62338606603729,"LOSS","OPTOUT",85,3,5,0.405465108108164,32,1,3,2,0,1,1,1,1,1,1,1,2.58610853029697,2.69185306619964,1.58268317512528,3.55700383280035,3.52291341367955,13.278,14.759,4.868,35.058,33.883,"Blended","2022-03-28"
"338",1,6,3,0,0,"FREE","COAT",2.60658090772556,"LOSS","OPTNEUTRAL",35,3,3,4.02535169073515,56,1,2,2,0,1,1,1,1,3,2,1,1.92220276525334,2.99608221231828,1.59351176188384,4.76203717330958,2.87570923095426,6.836,20.007,4.921,116.984,17.738,"Blended","2022-03-28"
"339",7,5,2,0,0,"FREE","COAT",2.70261038379255,"LOSS","OPTOUT",25,5,7,3.17805383034795,64,0,2,2,0,1,1,1,1,1,1,2,3.11909968750428,3.28057281267112,1.92541585404073,3.58773227210898,3.35501381735767,22.626,26.591,6.858,36.152,28.646,"Blended","2022-03-28"
"340",2,6,3,0,0,"FREE","COAT",3.23997532695076,"GAIN","OPTIN",35,5,3,5.29831736654804,72,1,1,0,1,3,3,3,3,3,3,5,2.94270062700219,3.64769280978369,1.77138667942012,3.54927249972752,3.78541615416197,18.967,38.386,5.879,34.788,44.054,"Blended","2022-03-28"
"341",8,6,2,0,0,"FREE","COAT",2.96789181142762,"GAIN","OPTIN",25,3,6,1.79175946922805,63,1,2,1,1,1,1,1,1,1,1,1,2.91332844729918,2.89137125822925,1.95840321330278,3.57520670962536,3.76614137590687,18.418,18.018,7.088,35.702,43.213,"Blended","2022-03-28"
"342",5,7,1,0,1,"FREE","SCARF",3.00190225086801,"GAIN","OPTIN",125,2,6,3.65646639854054,46,0,1,2,1,1,1,1,1,1,1,3,2.47123021897176,4.54359261025527,1.61681066676351,2.67041755962866,2.89020507733907,11.837,94.028,5.037,14.446,17.997,"Blended","2022-03-28"
"343",8,7,4,1,1,"PAID","SCARF",2.68820596238251,"LOSS","OPTOUT",125,5,3,4.02535169073515,56,1,2,2,0,1,1,1,1,1,1,1,2.59905345272644,3.10660258238541,2.86727370665019,3.46313878320234,3.65107373937804,13.451,22.345,17.589,31.917,38.516,"Blended","2022-03-28"
"344",5,7,4,1,1,"PAID","SCARF",2.70020964689088,"LOSS","OPTIN",15,6,1,4.78749174278205,71,2,2,2,0,1,1,1,3,3,3,3,3.04175671186527,3.335200019155,2.04782186729937,3.95026246808181,3.82565869177515,20.942,28.084,7.751,51.949,45.863,"Blended","2022-03-28"
"345",9,7,3,1,1,"FREE","SCARF",2.65659625984379,"GAIN","OPTNEUTRAL",75,4,2,3.65646639854054,54,2,2,1,1,3,1,3,2,1,1,1,2.54686371683821,2.74643723350691,1.74309429724677,3.57613060067194,2.86636363321271,12.767,15.587,5.715,35.735,17.573,"Blended","2022-03-28"
