subid,age,condition,hand.look
2,3.156164,Faces_Medium,0.031875
93,5.030137,Faces_Medium,0.118853333
29,5.852055,Faces_Medium,0.09212
76,5.852055,Faces_Medium,0.129611111
48,6.082192,Faces_Medium,0.013785714
101,6.147945,Faces_Medium,0.043847059
67,6.542466,Faces_Medium,0.02425
73,6.641096,Faces_Medium,0.066933333
69,6.90411,Faces_Medium,0.031383333
84,7.232877,Faces_Medium,0.105366667
66,7.29863,Faces_Medium,0
81,7.331507,Faces_Medium,0.0826375
28,7.364384,Faces_Medium,0.047442857
82,7.660274,Faces_Medium,0.028216667
26,7.693151,Faces_Medium,0.050984615
94,7.758904,Faces_Medium,0.048575
79,8.153425,Faces_Medium,0.00645
102,8.350685,Faces_Medium,0.076552941
49,8.383562,Faces_Medium,0.052994118
112,8.383562,Faces_Medium,0.018925
17,8.778082,Faces_Medium,0.00355
15,8.843836,Faces_Medium,0.078911111
47,8.843836,Faces_Medium,0.033388235
95,8.843836,Faces_Medium,0.06863
58,8.876712,Faces_Medium,0.02505
60,8.909589,Faces_Medium,0.011775
68,9.336986,Faces_Medium,0.0221
87,9.336986,Faces_Medium,0.017766667
6,9.40274,Faces_Medium,0.069813333
23,9.435616,Faces_Medium,0
108,9.468493,Faces_Medium,0.009454545
3,9.534247,Faces_Medium,0.035154545
37,9.6,Faces_Medium,0.098161538
24,9.632877,Faces_Medium,0.029322222
38,9.665753,Faces_Medium,0.065425
113,9.69863,Faces_Medium,0.063135714
12,9.79726,Faces_Medium,0.031655556
78,9.89589,Faces_Medium,0.054327778
32,9.961644,Faces_Medium,0.102329412
35,10.1589,Faces_Medium,0.141805556
80,10.19178,Faces_Medium,0.0617125
27,10.29041,Faces_Medium,0.00136
111,10.32329,Faces_Medium,0.077227273
19,10.45479,Faces_Medium,0.0096
114,10.45479,Faces_Medium,0.073025
70,10.48767,Faces_Medium,0.074166667
46,10.55342,Faces_Medium,0.02695
117,10.5863,Faces_Medium,0.055670588
57,10.75068,Faces_Medium,0.14205
118,10.84932,Faces_Medium,0.042525
56,10.94795,Faces_Medium,0.0072
20,11.07945,Faces_Medium,0.0062
13,11.11233,Faces_Medium,0.014114286
52,11.30959,Faces_Medium,0.06835
18,11.4411,Faces_Medium,0
104,11.53973,Faces_Medium,0.064822222
36,11.67123,Faces_Medium,0.10665
64,11.86849,Faces_Medium,0.0450125
97,11.96712,Faces_Medium,0.105482353
41,12,Faces_Medium,0.04716
1,12.03288,Faces_Medium,0.053014286
43,12.13151,Faces_Medium,0.051377778
61,12.32877,Faces_Medium,0.025936364
62,12.32877,Faces_Medium,0.035657143
119,12.39452,Faces_Medium,0
30,12.46027,Faces_Medium,0.0974
9,12.49315,Faces_Medium,0.083025
42,12.59178,Faces_Medium,0.025363636
107,12.78904,Faces_Medium,0.00485
105,12.92055,Faces_Medium,0
83,13.05205,Faces_Medium,0.04375
103,13.15068,Faces_Medium,0.0704125
116,13.18356,Faces_Medium,0.099975
11,13.21644,Faces_Medium,0.051733333
8,13.28219,Faces_Medium,0.01106
7,13.61096,Faces_Medium,0.03844
33,13.93973,Faces_Medium,0.098044444
14,14.20274,Faces_Medium,0.07859
96,14.23562,Faces_Medium,0.138992308
109,14.33425,Faces_Medium,0.07276
86,14.43288,Faces_Medium,0.110307143
10,14.49863,Faces_Medium,0.135514286
25,14.59726,Faces_Medium,0.127635714
40,14.69589,Faces_Medium,0.090652941
74,14.72877,Faces_Medium,0.07162
75,14.72877,Faces_Medium,0.08217
100,14.76164,Faces_Medium,0.015491667
92,14.8274,Faces_Medium,0.127713333
16,15.22192,Faces_Medium,0.116307692
59,15.22192,Faces_Medium,0.04707
91,15.25479,Faces_Medium,0.0204
4,15.3863,Faces_Medium,0.1364
55,15.45205,Faces_Medium,0.02067
53,15.48493,Faces_Medium,0.107709091
54,15.58356,Faces_Medium,0.037290909
110,15.61644,Faces_Medium,0.10825
72,15.8137,Faces_Medium,0.107413333
51,16.73425,Faces_Medium,0.052730769
22,16.89863,Faces_Medium,0.07815
44,17.16164,Faces_Medium,0.082586667
71,17.49041,Faces_Medium,0
50,17.72055,Faces_Medium,0.08015
34,18.2137,Faces_Medium,0.052607143
45,18.34521,Faces_Medium,0.13721
65,18.44384,Faces_Medium,0.1163875
39,18.54247,Faces_Medium,0.0182
115,19.16712,Faces_Medium,0.00375
89,19.36438,Faces_Medium,0.084533333
21,19.59452,Faces_Medium,0.043566667
90,19.92329,Faces_Medium,0.1091875
88,20.08767,Faces_Medium,0.026976923
85,20.67945,Faces_Medium,0.10587
99,20.67945,Faces_Medium,0.1124625
31,21.63288,Faces_Medium,0.131127778
106,25.01918,Faces_Medium,0.150335714
77,27.84658,Faces_Medium,0.121190909
2,3.156164,Faces_Plus,0.078027273
93,5.030137,Faces_Plus,0.058692308
29,5.852055,Faces_Plus,0.065784615
76,5.852055,Faces_Plus,0.153990909
48,6.082192,Faces_Plus,0.029183333
101,6.147945,Faces_Plus,0.019222222
67,6.542466,Faces_Plus,0.069116667
73,6.641096,Faces_Plus,0.057216667
69,6.90411,Faces_Plus,0.027861538
84,7.232877,Faces_Plus,0.109758333
66,7.29863,Faces_Plus,0.03444
81,7.331507,Faces_Plus,0.123109091
28,7.364384,Faces_Plus,0.123657143
82,7.660274,Faces_Plus,0.050483333
26,7.693151,Faces_Plus,0.030577778
94,7.758904,Faces_Plus,0.005644444
79,8.153425,Faces_Plus,0
102,8.350685,Faces_Plus,0.0631
49,8.383562,Faces_Plus,0.08512
112,8.383562,Faces_Plus,0.072128571
63,8.515068,Faces_Plus,0
17,8.778082,Faces_Plus,0.0541
15,8.843836,Faces_Plus,0.0895375
47,8.843836,Faces_Plus,0.044290909
95,8.843836,Faces_Plus,0.031
58,8.876712,Faces_Plus,0.045057143
60,8.909589,Faces_Plus,0
68,9.336986,Faces_Plus,0
87,9.336986,Faces_Plus,0.002366667
6,9.40274,Faces_Plus,0.11344
108,9.468493,Faces_Plus,0.01335
3,9.534247,Faces_Plus,0.09588
37,9.6,Faces_Plus,0.044463636
24,9.632877,Faces_Plus,0.047333333
38,9.665753,Faces_Plus,0.07113
113,9.69863,Faces_Plus,0.0177
12,9.79726,Faces_Plus,0.090418182
5,9.863014,Faces_Plus,0
78,9.89589,Faces_Plus,0.0630875
32,9.961644,Faces_Plus,0.102672727
35,10.1589,Faces_Plus,0.054392308
80,10.19178,Faces_Plus,0.13587
27,10.29041,Faces_Plus,0.048233333
111,10.32329,Faces_Plus,0.059284615
19,10.45479,Faces_Plus,0
114,10.45479,Faces_Plus,0.064275
70,10.48767,Faces_Plus,0.067253846
46,10.55342,Faces_Plus,0.040833333
117,10.5863,Faces_Plus,0.06659
57,10.75068,Faces_Plus,0.005333333
118,10.84932,Faces_Plus,0.05044
56,10.94795,Faces_Plus,0
20,11.07945,Faces_Plus,0
13,11.11233,Faces_Plus,0
52,11.30959,Faces_Plus,0
18,11.4411,Faces_Plus,0
104,11.53973,Faces_Plus,0.032425
36,11.67123,Faces_Plus,0.008925
64,11.86849,Faces_Plus,0.052830769
97,11.96712,Faces_Plus,0.136275
41,12,Faces_Plus,0.0033375
1,12.03288,Faces_Plus,0.0238
43,12.13151,Faces_Plus,0.104969231
61,12.32877,Faces_Plus,0.02387
62,12.32877,Faces_Plus,0.096125
119,12.39452,Faces_Plus,0.1796
30,12.46027,Faces_Plus,0.0296
9,12.49315,Faces_Plus,0.086661538
42,12.59178,Faces_Plus,0.0818875
107,12.78904,Faces_Plus,0.074666667
83,13.05205,Faces_Plus,0.01305
103,13.15068,Faces_Plus,0.18148
116,13.18356,Faces_Plus,0.104683333
11,13.21644,Faces_Plus,0.01135
8,13.28219,Faces_Plus,0.0733
7,13.61096,Faces_Plus,0
33,13.93973,Faces_Plus,0.136046154
14,14.20274,Faces_Plus,0.13392
96,14.23562,Faces_Plus,0.165025
109,14.33425,Faces_Plus,0.139407692
86,14.43288,Faces_Plus,0.175509091
10,14.49863,Faces_Plus,0.0608
25,14.59726,Faces_Plus,0.063091667
40,14.69589,Faces_Plus,0.1255
74,14.72877,Faces_Plus,0.00232
75,14.72877,Faces_Plus,0.10094
100,14.76164,Faces_Plus,0.04018
92,14.8274,Faces_Plus,0.116830769
16,15.22192,Faces_Plus,0.065453846
59,15.22192,Faces_Plus,0.113244444
91,15.25479,Faces_Plus,0.1389
4,15.3863,Faces_Plus,0.069753846
55,15.45205,Faces_Plus,0.068475
53,15.48493,Faces_Plus,0.18082
54,15.58356,Faces_Plus,0.235090909
110,15.61644,Faces_Plus,0.055714286
72,15.8137,Faces_Plus,0.3456
51,16.73425,Faces_Plus,0.25322
22,16.89863,Faces_Plus,0.186963636
44,17.16164,Faces_Plus,0.246690909
71,17.49041,Faces_Plus,0.04375
50,17.72055,Faces_Plus,0.05974
34,18.2137,Faces_Plus,0.285333333
45,18.34521,Faces_Plus,0.026241667
65,18.44384,Faces_Plus,0.170266667
39,18.54247,Faces_Plus,0.0992375
89,19.36438,Faces_Plus,0.31383
21,19.59452,Faces_Plus,0.100323077
90,19.92329,Faces_Plus,0.166246154
88,20.08767,Faces_Plus,0.199318182
85,20.67945,Faces_Plus,0.1211
99,20.67945,Faces_Plus,0.22932
98,21.6,Faces_Plus,0
31,21.63288,Faces_Plus,0.141161538
106,25.01918,Faces_Plus,0.204538462
77,27.84658,Faces_Plus,0.001358333
