voice,Time_s,Intensity_dB
1,268.766792,51.474238
1,268.777458,51.995843
1,268.788125,51.012116
1,268.798792,49.828416
1,268.809458,49.186826
1,268.820125,49.9997
1,268.830792,50.125386
1,268.841458,49.553141
1,268.852125,50.149763
1,268.862792,50.970399
1,268.873458,51.689594
1,268.884125,52.54893
1,268.894792,53.388389
1,268.905458,52.264109
1,268.916125,50.341173
1,268.926792,50.485012
1,268.937458,50.568219
1,268.948125,48.03776
1,268.958792,48.263407
1,268.969458,50.222278
1,268.980125,51.264594
1,268.990792,51.650444
1,269.001458,51.300091
1,269.012125,48.338172
1,269.022792,47.655218
1,269.033458,49.297316
1,269.044125,48.590847
1,269.054792,48.143523
1,269.065458,49.54867
1,269.076125,50.049568
1,269.086792,50.150567
1,269.097458,51.4986
1,269.108125,53.488335
1,269.118792,53.789607
1,269.129458,53.953556
1,269.140125,55.642408
1,269.150792,56.582455
1,269.161458,57.261429
1,269.172125,57.617226
1,269.182792,59.425503
1,269.193458,59.579715
1,269.204125,57.775118
1,269.214792,58.268397
1,269.225458,58.376863
1,269.236125,56.910572
1,269.246792,58.346587
1,269.257458,58.779326
1,269.268125,56.533479
1,269.278792,57.191308
1,269.289458,59.449268
1,269.300125,58.234725
1,269.310792,54.281302
1,269.321458,54.636347
1,269.332125,56.442588
1,269.342792,54.725333
1,269.353458,50.161638
1,269.364125,46.784101
1,269.374792,46.081024
1,269.385458,43.060434
1,269.396125,42.009818
1,269.406792,39.405117
1,269.417458,35.687752
1,269.428125,38.727
1,269.438792,37.527919
1,269.449458,37.298823
1,269.460125,37.166485
1,269.470792,46.677693
1,269.481458,53.413822
1,269.492125,55.544542
1,269.502792,53.825729
1,269.513458,54.495598
1,269.524125,59.423926
1,269.534792,60.743209
1,269.545458,58.875113
1,269.556125,59.305209
1,269.566792,62.016929
1,269.577458,64.210267
1,269.588125,65.23327
1,269.598792,63.669965
1,269.609458,59.043311
1,269.620125,54.397148
1,269.630792,53.116263
1,269.641458,52.292647
1,269.652125,50.333388
1,269.662792,49.56156
1,269.673458,50.445264
1,269.684125,52.830907
1,269.694792,57.233659
1,269.705458,59.887042
1,269.716125,58.824695
1,269.726792,55.014899
1,269.737458,52.386907
1,269.748125,51.889824
1,269.758792,51.282738
1,269.769458,49.269726
1,269.780125,49.769296
1,269.790792,53.247985
1,269.801458,54.522563
1,269.812125,52.241004
1,269.822792,47.61956
1,269.833458,44.775513
1,269.844125,45.462441
1,269.854792,48.220813
1,269.865458,50.714849
1,269.876125,53.274817
1,269.886792,53.809358
1,269.897458,52.246699
1,269.908125,49.364396
1,269.918792,45.772625
1,269.929458,44.782722
1,269.940125,46.71719
1,269.950792,48.047405
1,269.961458,49.132905
1,269.972125,49.454704
1,269.982792,49.523133
1,269.993458,49.647367
1,270.004125,50.404802
1,270.014792,51.459095
1,270.025458,50.185749
1,270.036125,48.480263
1,270.046792,48.644821
1,270.057458,49.46389
1,270.068125,50.255498
1,270.078792,50.447352
1,270.089458,51.868973
1,270.100125,53.493464
1,270.110792,53.609372
1,270.121458,52.653092
1,270.132125,50.788676
1,270.142792,48.259158
1,270.153458,47.106549
1,270.164125,46.726992
1,270.174792,47.00905
1,270.185458,47.657217
1,270.196125,48.142905
1,270.206792,48.051627
1,270.217458,46.939596
1,270.228125,46.043978
1,270.238792,46.47463
1,270.249458,46.740159
1,270.260125,45.538825
1,270.270792,44.480684
1,270.281458,44.649388
1,270.292125,42.801501
1,270.302792,44.077627
1,270.313458,47.479503
1,270.324125,47.003239
1,270.334792,47.708069
1,270.345458,48.819127
1,270.356125,47.326568
1,270.366792,46.593125
1,270.377458,45.794665
1,270.388125,43.911698
1,270.398792,50.599345
1,270.409458,56.911925
1,270.420125,58.629005
1,270.430792,56.120631
1,270.441458,51.124358
1,270.452125,47.355618
