voice,tmean,Time_s,F0_Hz
1,285.558552045631,271.035458,81.785229
1,285.558552045631,271.045458,82.554749
1,285.558552045631,271.055458,83.426737
1,285.558552045631,271.065458,86.667143
1,285.558552045631,271.075458,88.560294
1,285.558552045631,271.205458,172.117398
1,285.558552045631,271.215458,172.717511
1,285.558552045631,271.225458,171.246312
1,285.558552045631,271.235458,175.907644
1,285.558552045631,271.245458,176.424056
1,285.558552045631,271.255458,175.907357
1,285.558552045631,271.265458,175.336057
1,285.558552045631,271.275458,175.796176
1,285.558552045631,271.285458,175.786815
1,285.558552045631,271.295458,171.694704
1,285.558552045631,271.305458,167.523754
1,285.558552045631,271.315458,161.443344
1,285.558552045631,271.325458,155.624861
1,285.558552045631,271.335458,146.386038
1,285.558552045631,271.345458,135.75521
1,285.558552045631,271.355458,127.356103
1,285.558552045631,271.365458,122.830447
1,285.558552045631,271.375458,117.173513
1,285.558552045631,271.385458,116.652471
1,285.558552045631,271.395458,109.001037
1,285.558552045631,271.405458,109.534968
1,285.558552045631,271.415458,105.667094
1,285.558552045631,271.425458,107.342761
1,285.558552045631,271.435458,102.86849
1,285.558552045631,271.445458,98.492027
1,285.558552045631,271.985458,96.310276
1,285.558552045631,271.995458,109.294469
1,285.558552045631,272.005458,118.654605
1,285.558552045631,272.015458,118.664725
1,285.558552045631,272.025458,119.399902
1,285.558552045631,272.035458,119.61497
1,285.558552045631,272.045458,118.970648
1,285.558552045631,272.055458,117.38057
1,285.558552045631,272.065458,116.556203
1,285.558552045631,272.075458,115.300316
1,285.558552045631,272.085458,113.931788
1,285.558552045631,272.095458,112.446593
1,285.558552045631,272.105458,112.000361
1,285.558552045631,272.115458,109.91994
1,285.558552045631,272.125458,109.444096
1,285.558552045631,272.135458,109.083549
1,285.558552045631,272.145458,108.009563
1,285.558552045631,272.155458,106.187835
1,285.558552045631,272.165458,103.218643
1,285.558552045631,272.175458,100.946131
1,285.558552045631,272.185458,96.113463
1,285.558552045631,272.195458,88.161946
1,285.558552045631,272.205458,80.425059
1,285.558552045631,272.275458,117.216804
1,285.558552045631,272.285458,118.194191
1,285.558552045631,272.295458,119.053223
1,285.558552045631,272.305458,114.997008
1,285.558552045631,272.315458,120.141791
1,285.558552045631,272.325458,119.834209
1,285.558552045631,272.335458,118.995066
1,285.558552045631,272.345458,118.60046
1,285.558552045631,272.355458,117.760222
1,285.558552045631,272.365458,116.610188
1,285.558552045631,272.375458,111.682346
1,285.558552045631,272.385458,110.288612
1,285.558552045631,272.395458,111.767163
1,285.558552045631,272.405458,117.232471
1,285.558552045631,272.455458,125.903753
1,285.558552045631,272.465458,124.367664
1,285.558552045631,272.475458,123.318561
1,285.558552045631,272.485458,120.965943
1,285.558552045631,272.495458,118.999897
1,285.558552045631,272.505458,117.082723
1,285.558552045631,272.515458,114.962993
1,285.558552045631,272.525458,113.453602
1,285.558552045631,272.535458,112.841673
1,285.558552045631,272.545458,113.758721
1,285.558552045631,272.555458,114.379926
1,285.558552045631,272.565458,115.81665
1,285.558552045631,272.575458,116.946978
1,285.558552045631,272.585458,117.922921
1,285.558552045631,272.595458,119.479835
