voice,Time_s,F0_Hz
1,208.95724,120.800461
1,208.96724,119.435823
1,208.97724,116.968089
1,208.98724,115.496539
1,208.99724,116.364882
1,209.00724,115.570917
1,209.01724,114.705804
1,209.02724,114.055215
1,209.03724,113.914988
1,209.04724,112.818964
1,209.05724,112.157627
1,209.06724,111.914743
1,209.07724,110.851172
1,209.08724,109.146787
1,209.09724,106.347257
1,209.10724,103.132493
1,209.11724,102.409791
1,209.26724,130.879742
1,209.27724,127.780922
1,209.28724,126.952833
1,209.29724,126.963308
1,209.30724,127.3582
1,209.31724,128.107389
1,209.32724,128.109208
1,209.33724,127.879414
1,209.34724,131.553825
1,209.35724,131.593722
1,209.36724,131.111808
1,209.37724,131.206462
1,209.38724,131.60473
1,209.39724,131.751024
1,209.40724,131.59794
1,209.41724,131.418438
1,209.42724,132.821588
1,209.43724,131.970711
1,209.44724,130.779415
1,209.45724,130.033259
1,209.46724,129.577244
1,209.47724,129.658091
1,209.48724,130.139893
1,209.49724,130.627603
1,209.50724,130.967004
1,209.51724,130.688141
1,209.52724,130.399228
1,209.53724,129.930354
1,209.54724,129.518222
1,209.55724,125.214322
1,209.56724,118.188586
1,209.82724,123.559998
1,209.83724,116.194278
1,209.84724,113.151112
1,209.85724,112.001531
1,209.86724,113.154797
1,209.87724,114.965037
1,209.88724,116.327847
1,209.89724,116.83289
1,209.90724,116.294802
1,209.91724,109.440648
1,209.92724,109.70731
1,209.93724,109.576654
1,210.15724,101.799161
1,210.16724,102.146302
1,210.17724,107.615801
1,210.18724,105.312602
1,210.19724,106.008913
1,210.20724,106.485831
1,210.21724,106.701772
1,210.22724,107.143213
1,210.23724,106.887475
1,210.24724,107.342021
1,210.25724,108.064167
1,210.26724,108.638393
1,210.27724,109.403579
1,210.28724,110.540019
1,210.29724,110.71635
1,210.30724,111.063974
1,210.31724,112.088698
1,210.32724,111.915974
1,210.33724,111.429064
1,210.34724,110.766727
1,210.35724,109.389556
1,210.36724,106.051079
1,210.37724,108.349622
1,210.38724,110.524973
1,210.39724,117.330633
1,210.40724,115.749582
1,210.41724,115.182691
1,210.42724,114.580312
1,210.43724,112.347355
1,210.44724,110.312707
1,210.45724,108.182119
1,210.46724,107.424883
1,210.47724,107.661388
1,210.48724,108.310887
1,210.49724,109.447678
1,210.50724,109.577528
1,210.51724,109.444267
1,210.52724,107.995925
1,210.68724,113.257513
1,210.69724,109.487171
1,210.70724,105.151089
1,210.71724,103.944996
1,210.72724,102.041862
1,210.73724,101.298772
1,210.74724,100.813873
1,210.75724,100.684649
1,210.76724,100.404413
1,210.77724,99.564612
1,210.78724,99.526663
1,210.79724,99.33031
1,210.80724,98.875133
1,210.81724,96.505206
1,210.82724,96.162332
1,210.83724,95.289268
1,210.84724,90.676094
1,210.85724,86.140908
1,210.86724,83.948856
1,210.87724,87.856483
1,210.88724,95.881652
1,210.89724,98.513553
1,210.90724,98.036819
1,210.91724,98.376671
1,210.92724,98.846127
1,210.93724,96.616159
1,210.94724,96.938725
1,210.95724,96.709318
1,210.96724,95.769298
1,210.97724,96.046125
1,210.98724,96.210353
1,210.99724,96.18092
1,211.00724,95.708868
1,211.01724,94.443778
1,211.02724,93.923595
1,211.03724,94.79183
1,211.04724,94.780729
1,211.05724,94.841251
1,211.06724,95.096403
1,211.07724,95.586105
1,211.08724,95.69627
1,211.09724,95.217933
1,211.10724,94.727072
1,211.11724,93.840323
1,211.12724,93.188658
1,211.13724,93.610284
1,211.14724,95.711418
1,211.15724,98.755865
1,211.16724,100.243623
1,211.17724,100.072409
1,211.18724,98.691116
1,211.19724,95.987975
1,211.20724,93.682221
1,211.21724,95.753451
1,211.22724,96.194548
1,211.23724,97.474083
1,211.24724,97.796026
1,211.25724,97.65158
1,211.26724,97.636091
1,211.27724,92.97144
1,211.30724,308.630429
1,211.31724,327.573965
1,211.32724,356.729441
1,211.33724,356.609036
1,211.34724,355.550493
1,211.37724,108.284654
1,211.38724,100.65364
1,211.39724,100.594656
1,211.40724,100.338847
1,211.41724,100.604496
1,211.42724,99.388027
1,211.43724,98.667271
1,211.44724,98.980305
1,211.45724,100.354338
1,211.46724,101.018394
1,211.47724,101.125601
1,211.64724,103.961154
1,211.65724,104.104679
1,211.66724,102.751605
1,211.67724,102.972799
1,211.68724,103.299631
1,211.69724,103.71458
1,211.70724,99.574226
1,211.71724,99.394912
1,211.79724,84.965342
1,211.80724,85.020314
1,211.96724,105.364475
1,211.97724,103.93247
1,211.98724,101.002431
1,211.99724,99.503967
1,212.00724,99.947258
1,212.01724,100.274418
1,212.02724,100.816283
1,212.03724,100.549642
1,212.04724,99.306692
1,212.05724,97.8657
1,212.06724,97.623726
1,212.07724,98.99537
1,212.08724,99.19765
1,212.09724,102.194371
1,212.10724,102.421114
1,212.11724,102.76684
1,212.12724,102.873891
1,212.13724,102.271743
1,212.14724,100.17547
1,212.15724,99.285432
1,212.16724,99.37401
1,212.17724,99.566679
1,212.18724,99.45577
1,212.19724,98.887011
1,212.20724,98.336164
1,212.21724,97.770194
1,212.22724,97.217058
1,212.23724,96.538922
1,212.24724,91.848739
1,212.25724,92.295513
1,212.26724,92.02992
1,212.27724,90.310824
1,212.28724,92.801629
1,212.29724,92.355016
1,212.30724,91.700869
1,212.31724,90.951513
1,212.46724,80.615976
1,212.47724,81.322535
1,212.48724,82.285082
1,212.49724,83.500066
1,212.50724,89.443
1,212.51724,95.152475
1,212.52724,95.69364
1,212.53724,96.13861
1,212.54724,97.020391
1,212.55724,97.103411
1,212.56724,96.691874
1,212.57724,97.222222
1,212.58724,96.817998
1,212.59724,95.945699
1,212.60724,93.908635
1,212.61724,93.41848
1,212.62724,92.637529
1,212.63724,92.036208
1,212.64724,92.032529
1,212.65724,92.198972
1,212.66724,92.08745
1,212.67724,91.849607
1,212.68724,91.852908
