voice,voicefil,form_smean,form_svar,form_rmean,form_rvar,intense_smean,intense_svar,intense_rmean,intense_rvar,pitch_smean,pitch_svar,pitch_rmean,pitch_rvar,ptype,plev,vsex,pitch_smeanMD,pitch_svarMD,intense_smeanMD,intense_svarMD,form_smeanMD,form_svarMD,HNDE,HNEX,HNIN,HPEF,HPFO,HPRE,LNEY,LNSP,LNSW,LPAT,LPFO,LPGR,HN,HP,LN,LP,LPr,LNr,newpster
5,m05_power.wav,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,1,-1,-33.43120241,-986.7699299,1.29169084,5.164309466,-51.79217249,-3119.91421,4.783783784,4.72972973,4.162162162,5.324324324,5.459459459,4.783783784,2.361111111,2.567567568,3,4.486486486,4.945945946,4.837837838,4.558648649,5.188378378,2.648918919,4.757027027,3.242972973,5.351081081,4.58527027
8,m08_power.wav,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,-1,-1,-51.23349522,-345.1125549,-1.522640638,8.120863367,-72.26076404,-13174.86464,3.973684211,3.815789474,3.342105263,4.157894737,4.710526316,4.210526316,3.236842105,3.763157895,3.763157895,4.131578947,4.394736842,4.578947368,3.710526316,4.359736842,3.587631579,4.368684211,3.631315789,4.412368421,4.028486842
14,m14_power.wav,1036.789722,31945.55443,1270.421028,76415.65605,56.0695028,138.1893885,58.24224692,117.6950476,101.9846607,1741.023838,100.3884994,1727.823255,STATUS,-1,-1,-53.91970532,276.1838381,-2.711320599,-60.32854659,-86.46027791,-9419.935572,3.263157895,3.157894737,3.157894737,3.263157895,4,3.263157895,4.447368421,3.973684211,4,3.973684211,4.657894737,4.315789474,3.192368421,3.508421053,4.141578947,4.315263158,3.684736842,3.858421053,3.560986842
15,m15_power.wav,1287.529061,55827.3777,1271.633504,49676.96855,58.25326643,170.3409297,61.15741429,198.372749,105.8902722,532.427991,113.0872892,2055.704044,STATUS,-1,-1,-50.01409381,-932.412009,-0.52755697,-28.17700543,164.2790612,14461.8877,2.179487179,2.487179487,2.666666667,2.358974359,3.641025641,2.692307692,5.307692308,5.256410256,5.333333333,3.58974359,4.128205128,3.641025641,2.444102564,2.897435897,5.299230769,3.786153846,4.213846154,2.700769231,3.064038462
16,m16_power.wav,1091.064207,30156.14056,1247.496961,51532.45762,61.66393378,334.189091,66.3577226,210.8300468,156.9752449,482.0228757,145.4626262,297.3642728,SENSE,1,-1,1.070878948,-982.8171243,2.883110379,135.6711559,-32.18579315,-11209.34944,5.394736842,5.105263158,5.078947368,5.394736842,5.473684211,4.447368421,2.657894737,2.289473684,2.947368421,4.184210526,4.868421053,4.710526316,5.193421053,5.105526316,2.631052632,4.586842105,3.413157895,5.368947368,4.770263158
24,m24_power.wav,1075.945776,33239.34355,1302.344732,71826.72254,57.44136328,149.5507228,56.33451087,171.1412861,109.2258555,771.5687078,106.1629597,222.5358486,BATNA,-1,-1,-46.67851048,-693.2712922,-1.339460118,-48.96721231,-47.30422358,-8126.146451,2.948717949,3,2.58974359,3.230769231,4.102564103,3.461538462,4.051282051,3.871794872,4.076923077,3.717948718,4.564102564,3.923076923,2.846410256,3.598205128,4.00025641,4.068205128,3.931794872,3.99974359,3.594038462
26,m26_power.wav,1291.177201,62295.71682,1291.465851,60030.75587,58.14088789,219.8168937,58.83202723,173.0508639,111.6397,2601.035376,105.7594054,2466.132286,INFO,-1,-1,-44.26466596,1136.195376,-0.639935505,21.29895864,167.9272014,20930.22682,3.605263158,3.947368421,3.026315789,3.815789474,5.026315789,4.236842105,2.921052632,3.210526316,3.526315789,4.605263158,4.842105263,5.052631579,3.526052632,4.360263158,3.219210526,4.833421053,3.166578947,4.780789474,3.958421053
29,m29_power.wav,1073.568099,31646.13734,1295.411122,60327.17552,48.23097572,185.034465,52.51201669,195.0275272,94.93356657,44.42057466,88.95736631,30.89788498,SENSE,-1,-1,-60.97079943,-1420.419425,-10.54984768,-13.48347009,-49.68190061,-9719.352656,1.894736842,2,2.210526316,2.184210526,2.763157895,2.552631579,5.210526316,5.236842105,4.815789474,2.921052632,3.675675676,2.947368421,2.025789474,2.499736842,5.088157895,3.175526316,4.824473684,2.911842105,3.065460526
32,m32_power.wav,1035.67978,38461.51377,1255.931872,78179.52398,65.83152776,207.794811,63.19438768,144.6605224,106.5956735,287.4873491,91.32426964,123.9798861,STATUS,1,-1,-49.30869254,-1177.352651,7.050704364,9.276875933,-87.57022024,-2903.976234,4.41025641,4.512820513,4.128205128,3.897435897,4.384615385,3.487179487,3.41025641,3.230769231,3.820512821,3.538461538,4.051282051,3.666666667,4.350512821,3.922820513,3.486153846,3.752307692,4.247692308,4.513846154,4.258717949
37,m37_power.wav,1070.33825,36792.17831,1223.391818,66977.39735,65.63450682,272.9354146,70.23297674,136.8179041,104.1732413,284.2894914,110.0092673,2857.667214,SENSE,1,-1,-51.73112472,-1180.550509,6.85368342,74.41747955,-52.91175048,-4573.311691,4.486486486,4.648648649,3.891891892,5.513513514,5.027027027,4.945945946,2.648648649,2.351351351,3.081081081,4.540540541,4.783783784,4.891891892,4.341621622,5.162432432,2.694594595,4.738378378,3.261621622,5.305405405,4.51777027
