trial_id,subject,block,condition,trial,rt,correct
199,s04,1,incongruent,11,733,1
200,s04,1,incongruent,12,676,1
201,s04,2,congruent,1,582,1
202,s04,2,congruent,2,759,1
203,s04,2,congruent,3,721,1
204,s04,2,congruent,4,745,1
205,s04,2,congruent,5,505,1
206,s04,2,congruent,6,574,1
207,s04,2,congruent,7,565,1
208,s04,2,congruent,8,734,1
209,s04,2,congruent,9,842,1
210,s04,2,congruent,10,601,1
211,s04,2,congruent,11,542,1
212,s04,2,congruent,12,874,1
213,s04,2,incongruent,1,693,1
214,s04,2,incongruent,2,833,0
215,s04,2,incongruent,3,708,0
216,s04,2,incongruent,4,563,1
217,s04,2,incongruent,5,857,1
218,s04,2,incongruent,6,590,1
219,s04,2,incongruent,7,723,1
220,s04,2,incongruent,8,992,1
221,s04,2,incongruent,9,569,1
222,s04,2,incongruent,10,650,1
223,s04,2,incongruent,11,681,1
224,s04,2,incongruent,12,710,1
225,s05,0,congruent,1,1389,0
226,s05,0,congruent,2,953,1
227,s05,0,congruent,3,1111,1
228,s05,0,congruent,4,1619,1
229,s05,0,incongruent,1,1724,1
230,s05,0,incongruent,2,1126,1
231,s05,0,incongruent,3,1515,1
232,s05,0,incongruent,4,1193,0
233,s05,1,congruent,1,1097,1
234,s05,1,congruent,2,1037,1
235,s05,1,congruent,3,983,1
236,s05,1,congruent,4,1587,1
237,s05,1,congruent,5,952,1
238,s05,1,congruent,6,797,1
239,s05,1,congruent,7,1328,1
240,s05,1,congruent,8,1164,1
241,s05,1,congruent,9,1190,1
242,s05,1,congruent,10,1101,1
243,s05,1,congruent,11,1707,1
244,s05,1,congruent,12,972,1
245,s05,1,incongruent,1,1065,1
246,s05,1,incongruent,2,1143,1
247,s05,1,incongruent,3,611,0
248,s05,1,incongruent,4,1047,1
249,s05,1,incongruent,5,964,1
250,s05,1,incongruent,6,893,1
251,s05,1,incongruent,7,908,1
252,s05,1,incongruent,8,758,1
253,s05,1,incongruent,9,762,1
254,s05,1,incongruent,10,901,1
255,s05,1,incongruent,11,726,1
256,s05,1,incongruent,12,547,1
257,s05,2,congruent,1,880,1
258,s05,2,congruent,2,1285,1
259,s05,2,congruent,3,895,1
260,s05,2,congruent,4,1001,1
261,s05,2,congruent,5,1336,1
262,s05,2,congruent,6,1744,1
263,s05,2,congruent,7,965,1
264,s05,2,congruent,8,815,1
265,s05,2,congruent,9,1344,1
266,s05,2,congruent,10,1461,1
267,s05,2,congruent,11,786,1
268,s05,2,congruent,12,1217,1
269,s05,2,incongruent,1,998,1
270,s05,2,incongruent,2,853,1
271,s05,2,incongruent,3,1221,1
272,s05,2,incongruent,4,1131,1
273,s05,2,incongruent,5,875,1
274,s05,2,incongruent,6,1516,1
275,s05,2,incongruent,7,794,1
276,s05,2,incongruent,8,1049,1
277,s05,2,incongruent,9,743,1
278,s05,2,incongruent,10,949,1
279,s05,2,incongruent,11,690,1
280,s05,2,incongruent,12,1375,1
281,s06,0,congruent,1,820,0
282,s06,0,congruent,2,731,0
283,s06,0,congruent,3,1012,1
284,s06,0,congruent,4,1439,1
285,s06,0,incongruent,1,586,1
286,s06,0,incongruent,2,712,1
287,s06,0,incongruent,3,559,1
288,s06,0,incongruent,4,973,0
289,s06,1,congruent,1,707,1
290,s06,1,congruent,2,778,1
291,s06,1,congruent,3,830,1
292,s06,1,congruent,4,661,1
293,s06,1,congruent,5,549,1
294,s06,1,congruent,6,511,1
295,s06,1,congruent,7,607,1
296,s06,1,congruent,8,766,1
297,s06,1,congruent,9,730,1
298,s06,1,congruent,10,707,1
299,s06,1,congruent,11,611,0
300,s06,1,congruent,12,572,1
301,s06,1,incongruent,1,767,1
302,s06,1,incongruent,2,946,1
303,s06,1,incongruent,3,764,1
304,s06,1,incongruent,4,1292,1
305,s06,1,incongruent,5,1195,1
306,s06,1,incongruent,6,842,1
307,s06,1,incongruent,7,893,1
308,s06,1,incongruent,8,891,1
309,s06,1,incongruent,9,845,1
310,s06,1,incongruent,10,829,1
311,s06,1,incongruent,11,1430,1
312,s06,1,incongruent,12,945,1
313,s06,2,congruent,1,658,1
314,s06,2,congruent,2,519,1
315,s06,2,congruent,3,616,1
316,s06,2,congruent,4,686,1
317,s06,2,congruent,5,799,0
318,s06,2,congruent,6,786,1
319,s06,2,congruent,7,797,1
320,s06,2,congruent,8,767,0
321,s06,2,congruent,9,3275,1
322,s06,2,congruent,10,947,1
323,s06,2,congruent,11,973,1
324,s06,2,congruent,12,738,1
325,s06,2,incongruent,1,571,1
326,s06,2,incongruent,2,869,1
327,s06,2,incongruent,3,670,1
328,s06,2,incongruent,4,949,1
329,s06,2,incongruent,5,760,1
330,s06,2,incongruent,6,835,1
331,s06,2,incongruent,7,1058,1
332,s06,2,incongruent,8,3316,1
333,s06,2,incongruent,9,969,1
334,s06,2,incongruent,10,956,1
335,s06,2,incongruent,11,1385,1
336,s06,2,incongruent,12,693,1
337,s07,0,congruent,1,1328,1
338,s07,0,congruent,2,712,1
339,s07,0,congruent,3,902,0
340,s07,0,congruent,4,1739,1
341,s07,0,incongruent,1,783,1
342,s07,0,incongruent,2,1332,1
343,s07,0,incongruent,3,765,1
344,s07,0,incongruent,4,1195,1
345,s07,1,congruent,1,655,1
346,s07,1,congruent,2,788,1
347,s07,1,congruent,3,643,1
348,s07,1,congruent,4,931,1
349,s07,1,congruent,5,1131,0
350,s07,1,congruent,6,646,1
351,s07,1,congruent,7,967,0
352,s07,1,congruent,8,723,1
353,s07,1,congruent,9,759,1
354,s07,1,congruent,10,1030,1
355,s07,1,congruent,11,744,1
356,s07,1,congruent,12,890,1
357,s07,1,incongruent,1,1141,1
358,s07,1,incongruent,2,786,1
359,s07,1,incongruent,3,854,1
360,s07,1,incongruent,4,850,1
361,s07,1,incongruent,5,1161,1
362,s07,1,incongruent,6,979,1
363,s07,1,incongruent,7,631,1
364,s07,1,incongruent,8,797,1
365,s07,1,incongruent,9,722,1
366,s07,1,incongruent,10,1181,1
367,s07,1,incongruent,11,4122,1
368,s07,1,incongruent,12,833,1
369,s07,2,congruent,1,1013,1
370,s07,2,congruent,2,609,1
371,s07,2,congruent,3,545,0
372,s07,2,congruent,4,778,1
373,s07,2,congruent,5,703,1
374,s07,2,congruent,6,714,1
375,s07,2,congruent,7,924,1
376,s07,2,congruent,8,921,1
377,s07,2,congruent,9,810,0
378,s07,2,congruent,10,703,1
379,s07,2,congruent,11,671,1
380,s07,2,congruent,12,1147,1
381,s07,2,incongruent,1,836,1
382,s07,2,incongruent,2,581,1
383,s07,2,incongruent,3,814,1
384,s07,2,incongruent,4,858,1
385,s07,2,incongruent,5,799,1
386,s07,2,incongruent,6,768,1
387,s07,2,incongruent,7,909,1
388,s07,2,incongruent,8,838,1
389,s07,2,incongruent,9,819,1
390,s07,2,incongruent,10,665,1
391,s07,2,incongruent,11,971,1
392,s07,2,incongruent,12,779,1
393,s08,0,congruent,1,1342,1
394,s08,0,congruent,2,710,1
395,s08,0,congruent,3,561,1
396,s08,0,congruent,4,500,0
397,s08,0,incongruent,1,1095,1
398,s08,0,incongruent,2,529,1
399,s08,0,incongruent,3,559,1
400,s08,0,incongruent,4,624,1
401,s08,1,congruent,1,392,1
402,s08,1,congruent,2,454,1
403,s08,1,congruent,3,515,1
404,s08,1,congruent,4,353,1
405,s08,1,congruent,5,544,1
406,s08,1,congruent,6,464,1
407,s08,1,congruent,7,346,1
408,s08,1,congruent,8,426,1
409,s08,1,congruent,9,408,1
410,s08,1,congruent,10,444,1
411,s08,1,congruent,11,377,1
412,s08,1,congruent,12,397,1
413,s08,1,incongruent,1,344,1
414,s08,1,incongruent,2,410,1
415,s08,1,incongruent,3,446,1
416,s08,1,incongruent,4,328,1
417,s08,1,incongruent,5,373,1
418,s08,1,incongruent,6,360,1
419,s08,1,incongruent,7,269,1
420,s08,1,incongruent,8,321,1
421,s08,1,incongruent,9,330,1
422,s08,1,incongruent,10,471,1
423,s08,1,incongruent,11,389,1
424,s08,1,incongruent,12,332,1
425,s08,2,congruent,1,481,1
426,s08,2,congruent,2,516,1
427,s08,2,congruent,3,507,0
428,s08,2,congruent,4,500,1
429,s08,2,congruent,5,447,1
430,s08,2,congruent,6,523,1
431,s08,2,congruent,7,626,1
432,s08,2,congruent,8,450,0
433,s08,2,congruent,9,521,1
434,s08,2,congruent,10,442,1
435,s08,2,congruent,11,580,1
436,s08,2,congruent,12,523,1
437,s08,2,incongruent,1,261,0
438,s08,2,incongruent,2,466,1
439,s08,2,incongruent,3,413,1
440,s08,2,incongruent,4,364,1
441,s08,2,incongruent,5,260,1
442,s08,2,incongruent,6,277,1
443,s08,2,incongruent,7,423,1
444,s08,2,incongruent,8,349,1
445,s08,2,incongruent,9,328,1
446,s08,2,incongruent,10,284,1
447,s08,2,incongruent,11,271,0
448,s08,2,incongruent,12,244,1
449,s09,0,congruent,1,605,0
450,s09,0,congruent,2,829,0
451,s09,0,congruent,3,1485,0
452,s09,0,congruent,4,1005,0
453,s09,0,incongruent,1,1269,1
454,s09,0,incongruent,2,1320,1
455,s09,0,incongruent,3,874,1
456,s09,0,incongruent,4,610,0
457,s09,1,congruent,1,771,1
458,s09,1,congruent,2,759,1
459,s09,1,congruent,3,790,1
460,s09,1,congruent,4,901,1
461,s09,1,congruent,5,622,0
462,s09,1,congruent,6,837,1
463,s09,1,congruent,7,717,1
464,s09,1,congruent,8,903,1
465,s09,1,congruent,9,574,0
466,s09,1,congruent,10,596,1
467,s09,1,congruent,11,745,1
468,s09,1,congruent,12,948,1
469,s09,1,incongruent,1,1155,1
470,s09,1,incongruent,2,636,1
471,s09,1,incongruent,3,1183,1
472,s09,1,incongruent,4,964,1
473,s09,1,incongruent,5,1159,0
474,s09,1,incongruent,6,693,1
475,s09,1,incongruent,7,802,1
476,s09,1,incongruent,8,959,1
477,s09,1,incongruent,9,1148,1
478,s09,1,incongruent,10,1226,1
479,s09,1,incongruent,11,966,1
480,s09,1,incongruent,12,780,1
481,s09,2,congruent,1,633,1
482,s09,2,congruent,2,520,1
483,s09,2,congruent,3,608,1
484,s09,2,congruent,4,587,1
485,s09,2,congruent,5,1021,1
486,s09,2,congruent,6,785,1
487,s09,2,congruent,7,608,0
488,s09,2,congruent,8,852,1
489,s09,2,congruent,9,825,1
490,s09,2,congruent,10,608,1
491,s09,2,congruent,11,843,0
492,s09,2,congruent,12,621,1
493,s09,2,incongruent,1,797,1
494,s09,2,incongruent,2,1133,1
495,s09,2,incongruent,3,625,1
496,s09,2,incongruent,4,1145,1
497,s09,2,incongruent,5,595,1
498,s09,2,incongruent,6,1007,1
499,s09,2,incongruent,7,586,1
500,s09,2,incongruent,8,883,1
501,s09,2,incongruent,9,804,1
502,s09,2,incongruent,10,1332,1
503,s09,2,incongruent,11,830,1
504,s09,2,incongruent,12,789,1
505,s10,0,congruent,1,646,1
506,s10,0,congruent,2,906,1
507,s10,0,congruent,3,679,1
508,s10,0,congruent,4,945,1
509,s10,0,incongruent,1,517,1
510,s10,0,incongruent,2,845,1
511,s10,0,incongruent,3,867,1
512,s10,0,incongruent,4,840,0
513,s10,1,congruent,1,375,1
514,s10,1,congruent,2,482,1
515,s10,1,congruent,3,314,1
516,s10,1,congruent,4,522,1
517,s10,1,congruent,5,560,1
518,s10,1,congruent,6,416,1
519,s10,1,congruent,7,371,1
520,s10,1,congruent,8,534,1
521,s10,1,congruent,9,418,1
522,s10,1,congruent,10,424,1
523,s10,1,congruent,11,474,1
524,s10,1,congruent,12,568,1
525,s10,1,incongruent,1,470,0
526,s10,1,incongruent,2,551,1
527,s10,1,incongruent,3,663,1
528,s10,1,incongruent,4,966,1
529,s10,1,incongruent,5,453,1
530,s10,1,incongruent,6,525,1
531,s10,1,incongruent,7,589,1
532,s10,1,incongruent,8,670,1
533,s10,1,incongruent,9,751,1
534,s10,1,incongruent,10,669,1
535,s10,1,incongruent,11,503,1
536,s10,1,incongruent,12,652,1
537,s10,2,congruent,1,531,1
538,s10,2,congruent,2,494,1
539,s10,2,congruent,3,485,0
540,s10,2,congruent,4,436,0
541,s10,2,congruent,5,469,1
542,s10,2,congruent,6,644,1
543,s10,2,congruent,7,443,1
544,s10,2,congruent,8,493,1
545,s10,2,congruent,9,5914,1
546,s10,2,congruent,10,547,1
547,s10,2,congruent,11,578,1
548,s10,2,congruent,12,485,1
549,s10,2,incongruent,1,577,0
550,s10,2,incongruent,2,619,1
551,s10,2,incongruent,3,593,1
552,s10,2,incongruent,4,800,1
553,s10,2,incongruent,5,897,1
554,s10,2,incongruent,6,575,1
555,s10,2,incongruent,7,699,1
556,s10,2,incongruent,8,721,1
557,s10,2,incongruent,9,518,1
558,s10,2,incongruent,10,4925,1
559,s10,2,incongruent,11,555,0
560,s10,2,incongruent,12,547,1
561,s11,0,congruent,1,1133,1
562,s11,0,congruent,2,965,1
563,s11,0,congruent,3,906,1
564,s11,0,congruent,4,515,0
565,s11,0,incongruent,1,615,1
566,s11,0,incongruent,2,876,1
567,s11,0,incongruent,3,799,1
568,s11,0,incongruent,4,806,0
569,s11,1,congruent,1,405,1
570,s11,1,congruent,2,335,1
571,s11,1,congruent,3,352,1
572,s11,1,congruent,4,418,1
573,s11,1,congruent,5,528,1
574,s11,1,congruent,6,3538,1
575,s11,1,congruent,7,421,1
576,s11,1,congruent,8,353,1
577,s11,1,congruent,9,254,1
578,s11,1,congruent,10,344,1
579,s11,1,congruent,11,621,1
580,s11,1,congruent,12,592,1
581,s11,1,incongruent,1,451,1
582,s11,1,incongruent,2,258,1
583,s11,1,incongruent,3,810,1
584,s11,1,incongruent,4,559,1
585,s11,1,incongruent,5,477,1
586,s11,1,incongruent,6,623,1
587,s11,1,incongruent,7,662,1
588,s11,1,incongruent,8,567,1
589,s11,1,incongruent,9,613,1
590,s11,1,incongruent,10,334,1
591,s11,1,incongruent,11,392,1
592,s11,1,incongruent,12,397,1
593,s11,2,congruent,1,3533,1
594,s11,2,congruent,2,465,1
595,s11,2,congruent,3,241,1
596,s11,2,congruent,4,514,1
597,s11,2,congruent,5,499,1
598,s11,2,congruent,6,320,1
599,s11,2,congruent,7,615,1
600,s11,2,congruent,8,439,1
601,s11,2,congruent,9,586,1
602,s11,2,congruent,10,693,1
603,s11,2,congruent,11,879,0
604,s11,2,congruent,12,535,1
605,s11,2,incongruent,1,369,1
606,s11,2,incongruent,2,483,1
607,s11,2,incongruent,3,603,1
608,s11,2,incongruent,4,509,1
609,s11,2,incongruent,5,436,1
610,s11,2,incongruent,6,596,1
611,s11,2,incongruent,7,308,1
612,s11,2,incongruent,8,472,1
613,s11,2,incongruent,9,508,1
614,s11,2,incongruent,10,387,1
615,s11,2,incongruent,11,389,1
616,s11,2,incongruent,12,512,1
617,s12,0,congruent,1,917,1
618,s12,0,congruent,2,653,1
619,s12,0,congruent,3,1231,1
620,s12,0,congruent,4,1049,1
621,s12,0,incongruent,1,900,1
622,s12,0,incongruent,2,1685,1
623,s12,0,incongruent,3,1408,0
624,s12,0,incongruent,4,865,1
625,s12,1,congruent,1,809,1
626,s12,1,congruent,2,1113,1
627,s12,1,congruent,3,1178,1
628,s12,1,congruent,4,1133,1
629,s12,1,congruent,5,694,1
630,s12,1,congruent,6,1051,1
631,s12,1,congruent,7,1065,1
632,s12,1,congruent,8,905,1
633,s12,1,congruent,9,735,1
634,s12,1,congruent,10,1121,1
635,s12,1,congruent,11,1010,1
636,s12,1,congruent,12,544,1
637,s12,1,incongruent,1,820,1
638,s12,1,incongruent,2,602,1
639,s12,1,incongruent,3,4523,1
640,s12,1,incongruent,4,741,1
641,s12,1,incongruent,5,866,1
642,s12,1,incongruent,6,640,1
643,s12,1,incongruent,7,802,1
644,s12,1,incongruent,8,619,1
645,s12,1,incongruent,9,750,0
646,s12,1,incongruent,10,759,1
647,s12,1,incongruent,11,1020,1
648,s12,1,incongruent,12,1048,1
649,s12,2,congruent,1,1105,1
650,s12,2,congruent,2,994,0
651,s12,2,congruent,3,885,1
652,s12,2,congruent,4,838,1
653,s12,2,congruent,5,810,0
654,s12,2,congruent,6,1028,1
655,s12,2,congruent,7,1080,1
656,s12,2,congruent,8,824,1
657,s12,2,congruent,9,770,1
658,s12,2,congruent,10,902,1
659,s12,2,congruent,11,4481,1
660,s12,2,congruent,12,1067,0
661,s12,2,incongruent,1,1197,1
662,s12,2,incongruent,2,724,1
663,s12,2,incongruent,3,641,1
664,s12,2,incongruent,4,832,0
665,s12,2,incongruent,5,1168,1
666,s12,2,incongruent,6,623,1
667,s12,2,incongruent,7,585,1
668,s12,2,incongruent,8,590,1
669,s12,2,incongruent,9,863,1
670,s12,2,incongruent,10,766,1
671,s12,2,incongruent,11,741,1
672,s12,2,incongruent,12,1036,1
673,s13,0,congruent,1,1401,1
674,s13,0,congruent,2,696,0
675,s13,0,congruent,3,850,1
676,s13,0,congruent,4,974,1
677,s13,0,incongruent,1,991,1
678,s13,0,incongruent,2,1138,1
679,s13,0,incongruent,3,828,1
680,s13,0,incongruent,4,1075,0
681,s13,1,congruent,1,759,1
682,s13,1,congruent,2,601,1
683,s13,1,congruent,3,577,1
684,s13,1,congruent,4,693,1
685,s13,1,congruent,5,725,0
686,s13,1,congruent,6,814,1
687,s13,1,congruent,7,4002,1
688,s13,1,congruent,8,812,1
689,s13,1,congruent,9,847,1
690,s13,1,congruent,10,1117,1
691,s13,1,congruent,11,692,1
692,s13,1,congruent,12,662,1
693,s13,1,incongruent,1,708,1
694,s13,1,incongruent,2,601,1
695,s13,1,incongruent,3,770,1
696,s13,1,incongruent,4,793,1
697,s13,1,incongruent,5,948,1
698,s13,1,incongruent,6,673,1
699,s13,1,incongruent,7,899,1
700,s13,1,incongruent,8,469,1
701,s13,1,incongruent,9,913,1
702,s13,1,incongruent,10,672,1
703,s13,1,incongruent,11,647,1
704,s13,1,incongruent,12,609,1
705,s13,2,congruent,1,678,1
706,s13,2,congruent,2,698,1
707,s13,2,congruent,3,595,1
708,s13,2,congruent,4,537,1
709,s13,2,congruent,5,933,1
710,s13,2,congruent,6,708,1
711,s13,2,congruent,7,805,1
712,s13,2,congruent,8,782,1
713,s13,2,congruent,9,668,1
714,s13,2,congruent,10,593,1
715,s13,2,congruent,11,936,1
716,s13,2,congruent,12,1102,1
717,s13,2,incongruent,1,703,1
718,s13,2,incongruent,2,701,1
719,s13,2,incongruent,3,951,1
720,s13,2,incongruent,4,757,1
721,s13,2,incongruent,5,589,1
722,s13,2,incongruent,6,867,1
723,s13,2,incongruent,7,856,1
724,s13,2,incongruent,8,587,1
725,s13,2,incongruent,9,901,1
726,s13,2,incongruent,10,803,1
727,s13,2,incongruent,11,723,1
728,s13,2,incongruent,12,597,1
729,s14,0,congruent,1,719,1
730,s14,0,congruent,2,442,1
731,s14,0,congruent,3,562,1
732,s14,0,congruent,4,478,1
733,s14,0,incongruent,1,286,1
734,s14,0,incongruent,2,899,0
735,s14,0,incongruent,3,985,1
736,s14,0,incongruent,4,1091,1
737,s14,1,congruent,1,277,1
738,s14,1,congruent,2,480,1
739,s14,1,congruent,3,428,1
740,s14,1,congruent,4,452,1
741,s14,1,congruent,5,320,1
742,s14,1,congruent,6,318,1
743,s14,1,congruent,7,347,1
744,s14,1,congruent,8,375,1
745,s14,1,congruent,9,261,1
746,s14,1,congruent,10,434,1
747,s14,1,congruent,11,458,1
748,s14,1,congruent,12,417,1
749,s14,1,incongruent,1,329,1
750,s14,1,incongruent,2,303,1
751,s14,1,incongruent,3,330,1
752,s14,1,incongruent,4,347,1
753,s14,1,incongruent,5,483,1
754,s14,1,incongruent,6,593,0
755,s14,1,incongruent,7,420,1
756,s14,1,incongruent,8,756,0
757,s14,1,incongruent,9,456,1
758,s14,1,incongruent,10,669,0
759,s14,1,incongruent,11,426,1
760,s14,1,incongruent,12,503,1
761,s14,2,congruent,1,526,1
762,s14,2,congruent,2,200,1
763,s14,2,congruent,3,555,0
764,s14,2,congruent,4,507,1
765,s14,2,congruent,5,519,0
766,s14,2,congruent,6,667,1
767,s14,2,congruent,7,299,1
768,s14,2,congruent,8,372,1
769,s14,2,congruent,9,249,0
770,s14,2,congruent,10,489,1
771,s14,2,congruent,11,385,1
772,s14,2,congruent,12,501,1
773,s14,2,incongruent,1,399,1
774,s14,2,incongruent,2,651,0
775,s14,2,incongruent,3,443,1
776,s14,2,incongruent,4,408,1
777,s14,2,incongruent,5,567,1
778,s14,2,incongruent,6,527,1
779,s14,2,incongruent,7,413,1
780,s14,2,incongruent,8,720,1
781,s14,2,incongruent,9,561,1
782,s14,2,incongruent,10,427,1
783,s14,2,incongruent,11,674,1
784,s14,2,incongruent,12,665,0
785,s15,0,congruent,1,788,1
786,s15,0,congruent,2,1099,0
787,s15,0,congruent,3,477,0
788,s15,0,congruent,4,698,1
789,s15,0,incongruent,1,763,1
