trial_id,subject,block,condition,trial,rt,correct
1,s01,0,congruent,1,1574,1
2,s01,0,congruent,2,1101,1
3,s01,0,congruent,3,1154,0
4,s01,0,congruent,4,1347,1
5,s01,0,incongruent,1,1273,0
6,s01,0,incongruent,2,1702,1
7,s01,0,incongruent,3,1142,1
8,s01,0,incongruent,4,838,1
9,s01,1,congruent,1,740,1
10,s01,1,congruent,2,782,1
11,s01,1,congruent,3,695,1
12,s01,1,congruent,4,774,1
13,s01,1,congruent,5,734,1
14,s01,1,congruent,6,1067,0
15,s01,1,congruent,7,692,1
16,s01,1,congruent,8,862,1
17,s01,1,congruent,9,732,1
18,s01,1,congruent,10,734,1
19,s01,1,congruent,11,941,1
20,s01,1,congruent,12,594,1
21,s01,1,incongruent,1,1518,1
22,s01,1,incongruent,2,1187,1
23,s01,1,incongruent,3,901,1
24,s01,1,incongruent,4,1184,1
25,s01,1,incongruent,5,845,1
26,s01,1,incongruent,6,1018,1
27,s01,1,incongruent,7,826,1
28,s01,1,incongruent,8,818,1
29,s01,1,incongruent,9,1020,1
30,s01,1,incongruent,10,1070,1
31,s01,1,incongruent,11,1166,1
32,s01,1,incongruent,12,761,0
33,s01,2,congruent,1,1005,1
34,s01,2,congruent,2,743,1
35,s01,2,congruent,3,867,1
36,s01,2,congruent,4,877,1
37,s01,2,congruent,5,584,1
38,s01,2,congruent,6,563,1
39,s01,2,congruent,7,967,1
40,s01,2,congruent,8,933,1
41,s01,2,congruent,9,1247,1
42,s01,2,congruent,10,626,1
43,s01,2,congruent,11,677,1
44,s01,2,congruent,12,967,1
45,s01,2,incongruent,1,1123,1
46,s01,2,incongruent,2,861,1
47,s01,2,incongruent,3,1037,1
48,s01,2,incongruent,4,825,1
49,s01,2,incongruent,5,912,1
50,s01,2,incongruent,6,1449,1
51,s01,2,incongruent,7,567,0
52,s01,2,incongruent,8,851,1
53,s01,2,incongruent,9,815,1
54,s01,2,incongruent,10,786,1
55,s01,2,incongruent,11,701,1
56,s01,2,incongruent,12,1022,1
57,s02,0,congruent,1,1192,1
58,s02,0,congruent,2,668,1
59,s02,0,congruent,3,1026,1
60,s02,0,congruent,4,939,1
61,s02,0,incongruent,1,897,1
62,s02,0,incongruent,2,746,1
63,s02,0,incongruent,3,1066,1
64,s02,0,incongruent,4,928,1
65,s02,1,congruent,1,838,1
66,s02,1,congruent,2,706,1
67,s02,1,congruent,3,673,1
68,s02,1,congruent,4,740,1
69,s02,1,congruent,5,861,1
70,s02,1,congruent,6,583,1
71,s02,1,congruent,7,485,1
72,s02,1,congruent,8,613,0
73,s02,1,congruent,9,882,1
74,s02,1,congruent,10,794,0
75,s02,1,congruent,11,644,1
76,s02,1,congruent,12,533,1
77,s02,1,incongruent,1,838,1
78,s02,1,incongruent,2,509,1
79,s02,1,incongruent,3,1063,1
80,s02,1,incongruent,4,722,1
81,s02,1,incongruent,5,530,1
82,s02,1,incongruent,6,468,1
83,s02,1,incongruent,7,828,1
84,s02,1,incongruent,8,651,1
85,s02,1,incongruent,9,347,1
86,s02,1,incongruent,10,734,1
87,s02,1,incongruent,11,1138,1
88,s02,1,incongruent,12,699,1
89,s02,2,congruent,1,703,1
90,s02,2,congruent,2,725,1
91,s02,2,congruent,3,736,1
92,s02,2,congruent,4,612,1
93,s02,2,congruent,5,632,1
94,s02,2,congruent,6,724,1
95,s02,2,congruent,7,794,1
96,s02,2,congruent,8,758,1
97,s02,2,congruent,9,546,1
98,s02,2,congruent,10,766,1
99,s02,2,congruent,11,770,1
100,s02,2,congruent,12,779,1
101,s02,2,incongruent,1,990,1
102,s02,2,incongruent,2,570,1
103,s02,2,incongruent,3,703,1
104,s02,2,incongruent,4,584,1
105,s02,2,incongruent,5,503,1
106,s02,2,incongruent,6,533,1
107,s02,2,incongruent,7,653,1
108,s02,2,incongruent,8,656,1
109,s02,2,incongruent,9,493,1
110,s02,2,incongruent,10,1112,1
111,s02,2,incongruent,11,1062,1
112,s02,2,incongruent,12,968,1
113,s03,0,congruent,1,1152,0
114,s03,0,congruent,2,708,1
115,s03,0,congruent,3,775,0
116,s03,0,congruent,4,687,1
117,s03,0,incongruent,1,1069,1
118,s03,0,incongruent,2,834,1
119,s03,0,incongruent,3,676,0
120,s03,0,incongruent,4,862,1
121,s03,1,congruent,1,423,1
122,s03,1,congruent,2,536,1
123,s03,1,congruent,3,269,1
124,s03,1,congruent,4,365,1
125,s03,1,congruent,5,299,1
126,s03,1,congruent,6,540,1
127,s03,1,congruent,7,291,1
128,s03,1,congruent,8,376,1
129,s03,1,congruent,9,370,1
130,s03,1,congruent,10,356,1
131,s03,1,congruent,11,340,1
132,s03,1,congruent,12,249,1
133,s03,1,incongruent,1,308,1
134,s03,1,incongruent,2,272,1
135,s03,1,incongruent,3,241,1
136,s03,1,incongruent,4,290,1
137,s03,1,incongruent,5,307,1
138,s03,1,incongruent,6,291,1
139,s03,1,incongruent,7,221,1
140,s03,1,incongruent,8,196,1
141,s03,1,incongruent,9,290,1
142,s03,1,incongruent,10,244,1
143,s03,1,incongruent,11,279,1
144,s03,1,incongruent,12,219,1
145,s03,2,congruent,1,426,1
146,s03,2,congruent,2,367,1
147,s03,2,congruent,3,328,1
148,s03,2,congruent,4,472,1
149,s03,2,congruent,5,358,1
150,s03,2,congruent,6,498,1
151,s03,2,congruent,7,242,1
152,s03,2,congruent,8,384,1
153,s03,2,congruent,9,331,1
154,s03,2,congruent,10,445,1
155,s03,2,congruent,11,359,1
156,s03,2,congruent,12,375,1
157,s03,2,incongruent,1,497,1
158,s03,2,incongruent,2,353,1
159,s03,2,incongruent,3,385,0
160,s03,2,incongruent,4,301,1
161,s03,2,incongruent,5,3862,1
162,s03,2,incongruent,6,276,1
163,s03,2,incongruent,7,301,1
164,s03,2,incongruent,8,293,1
165,s03,2,incongruent,9,223,1
166,s03,2,incongruent,10,222,1
167,s03,2,incongruent,11,268,1
168,s03,2,incongruent,12,264,1
169,s04,0,congruent,1,869,0
170,s04,0,congruent,2,895,1
171,s04,0,congruent,3,607,0
172,s04,0,congruent,4,807,1
173,s04,0,incongruent,1,609,1
174,s04,0,incongruent,2,1350,0
175,s04,0,incongruent,3,782,0
176,s04,0,incongruent,4,590,1
177,s04,1,congruent,1,589,1
178,s04,1,congruent,2,767,0
179,s04,1,congruent,3,857,1
180,s04,1,congruent,4,865,1
181,s04,1,congruent,5,567,1
182,s04,1,congruent,6,761,1
183,s04,1,congruent,7,690,0
184,s04,1,congruent,8,902,1
185,s04,1,congruent,9,593,1
186,s04,1,congruent,10,583,1
187,s04,1,congruent,11,1065,1
188,s04,1,congruent,12,565,1
189,s04,1,incongruent,1,550,1
190,s04,1,incongruent,2,700,1
191,s04,1,incongruent,3,504,1
192,s04,1,incongruent,4,729,0
193,s04,1,incongruent,5,524,1
194,s04,1,incongruent,6,721,1
195,s04,1,incongruent,7,791,1
196,s04,1,incongruent,8,616,1
197,s04,1,incongruent,9,789,1
198,s04,1,incongruent,10,506,1
